15:18:44: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
15:18:44: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 133] Connected!
15:18:44: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGE_ALTITUDE: 1
15:18:45: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGE_ALTITUDE: -1
15:18:48: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 63.43494882292201
15:18:49: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 90.0
15:18:49: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 116.56505117707799
15:18:50: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 45.0
15:18:50: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 63.43494882292201
15:18:51: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 90.0
15:18:51: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 26.565051177077994
15:18:52: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 45.0
15:18:52: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 90.0
15:18:53: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 45.0
15:18:53: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 90.0
15:18:54: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: 135.0
15:18:54: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -26.565051177077994
15:18:55: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -45.0
15:18:55: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -90.0
15:18:56: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -45.0
15:18:56: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -90.0
15:18:57: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -135.0
15:18:57: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -63.43494882292201
15:18:58: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -90.0
15:18:58: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -116.56505117707799
15:18:59: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -45.0
15:18:59: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -63.43494882292201
15:19:00: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 78] CHANGING_YAW: -90.0
